Unnamed: 0,As of Date: 1/20/2024Current,9/30/2023,6/30/2023,3/31/2023,12/31/2022,Ticker,10/31/2023,7/31/2023,4/30/2023,1/31/2023,10/31/2022,As of Date: 1/19/2024Current,11/30/2023,8/31/2023,5/31/2023,2/28/2023,11/30/2022,0,1
Enterprise Value/EBITDA,16.61,93.51,86.88,49.48,82.22,AON,,,,,,,,,,,,,
Market Cap (intraday),,48.89B,50.13B,50.71B,63.70B,PNC,,,,,,60.02B,,,,,,,
Enterprise Value,,,,,,PNC,,,,,,,,,,,,,
Trailing P/E,,8.42,8.63,9.18,11.91,PNC,,,,,,11.79,,,,,,,
Forward P/E,,9.59,9.18,8.59,9.63,PNC,,,,,,11.95,,,,,,,
PEG Ratio (5 yr expected),,5.99,1.67,2.86,0.44,PNC,,,,,,3.85,,,,,,,
Price/Sales (ttm),,2.23,2.33,2.48,3.22,PNC,,,,,,2.81,,,,,,,
Price/Book (mrq),,0.99,1.02,1.11,1.36,PNC,,,,,,1.17,,,,,,,
Enterprise Value/Revenue,,,,,,PNC,,,,,,,,,,,,,
Enterprise Value/EBITDA,,,,,,PNC,,,,,,,,,,,,,
Market Cap (intraday),57.92B,62.96B,66.54B,63.80B,68.43B,APD,,,,,,,,,,,,,
Enterprise Value,67.00B,71.08B,73.80B,69.33B,73.46B,APD,,,,,,,,,,,,,
Trailing P/E,25.30,28.98,30.82,28.35,30.58,APD,,,,,,,,,,,,,
Forward P/E,20.12,22.22,23.87,25.32,27.03,APD,,,,,,,,,,,,,
PEG Ratio (5 yr expected),1.75,1.65,1.74,1.75,1.81,APD,,,,,,,,,,,,,
Price/Sales (ttm),4.61,4.86,5.08,4.96,5.40,APD,,,,,,,,,,,,,
Price/Book (mrq),4.05,4.45,4.73,4.58,5.21,APD,,,,,,,,,,,,,
Enterprise Value/Revenue,5.32,22.27,24.33,21.67,23.14,APD,,,,,,,,,,,,,
Enterprise Value/EBITDA,15.17,57.02,64.88,72.87,67.83,APD,,,,,,,,,,,,,
Market Cap (intraday),64.48B,58.66B,57.65B,48.42B,53.19B,MCK,,,,,,,,,,,,,
Enterprise Value,69.27B,63.45B,60.26B,53.82B,57.49B,MCK,,,,,,,,,,,,,
Trailing P/E,19.16,16.21,17.06,16.36,26.51,MCK,,,,,,,,,,,,,
Forward P/E,15.67,16.47,16.00,13.40,14.24,MCK,,,,,,,,,,,,,
PEG Ratio (5 yr expected),5.06,2.51,3.46,0.43,0.46,MCK,,,,,,,,,,,,,
Price/Sales (ttm),0.23,0.21,0.22,0.19,0.20,MCK,,,,,,,,,,,,,
Price/Book (mrq),5.04,,,,,MCK,,,,,,,,,,,,,
Enterprise Value/Revenue,0.24,0.82,0.81,0.78,0.82,MCK,,,,,,,,,,,,,
Enterprise Value/EBITDA,13.15,55.95,46.46,45.92,34.53,MCK,,,,,,,,,,,,,
Market Cap (intraday),55.60B,53.46B,57.36B,58.66B,54.31B,FCX,,,,,,,,,,,,,
Enterprise Value,59.26B,56.27B,60.14B,61.47B,56.43B,FCX,,,,,,,,,,,,,
Trailing P/E,25.85,25.37,22.10,17.12,14.39,FCX,,,,,,,,,,,,,
Forward P/E,21.05,16.58,21.60,24.04,22.37,FCX,,,,,,,,,,,,,
PEG Ratio (5 yr expected),,,,,,FCX,,,,,,,,,,,,,
Price/Sales (ttm),2.46,2.46,2.68,2.61,2.40,FCX,,,,,,,,,,,,,
Price/Book (mrq),3.38,3.30,3.57,3.77,3.63,FCX,,,,,,,,,,,,,
Enterprise Value/Revenue,2.61,9.66,10.48,11.41,9.80,FCX,,,,,,,,,,,,,
Enterprise Value/EBITDA,7.09,26.78,30.28,29.44,25.79,FCX,,,,,,,,,,,,,
Market Cap (intraday),56.26B,51.54B,53.16B,48.43B,40.95B,NXPI,,,,,,,,,,,,,
Enterprise Value,63.61B,58.85B,60.40B,55.75B,48.35B,NXPI,,,,,,,,,,,,,
Trailing P/E,20.25,18.91,19.64,17.68,15.77,NXPI,,,,,,,,,,,,,
Forward P/E,14.79,13.24,15.46,14.97,11.93,NXPI,,,,,,,,,,,,,
PEG Ratio (5 yr expected),2.05,1.61,2.05,2.00,1.24,NXPI,,,,,,,,,,,,,
Price/Sales (ttm),4.34,3.98,4.08,3.73,3.25,NXPI,,,,,,,,,,,,,
Price/Book (mrq),6.63,6.31,6.69,6.50,5.77,NXPI,,,,,,,,,,,,,
Enterprise Value/Revenue,4.83,17.14,18.31,17.86,14.60,NXPI,,,,,,,,,,,,,
Enterprise Value/EBITDA,12.78,45.30,48.21,49.04,37.57,NXPI,,,,,,,,,,,,,
Market Cap (intraday),58.40B,50.10B,50.63B,48.65B,45.31B,APH,,,,,,,,,,,,,
Enterprise Value,60.96B,52.91B,53.70B,51.79B,48.81B,APH,,,,,,,,,,,,,
Trailing P/E,31.49,27.36,27.49,26.71,25.72,APH,,,,,,,,,,,,,
Forward P/E,29.94,26.32,29.15,27.10,24.04,APH,,,,,,,,,,,,,
PEG Ratio (5 yr expected),5.96,5.03,5.24,4.73,2.67,APH,,,,,,,,,,,,,
Price/Sales (ttm),4.85,4.14,4.16,4.02,3.82,APH,,,,,,,,,,,,,
Price/Book (mrq),7.43,6.69,6.93,6.93,6.89,APH,,,,,,,,,,,,,
Enterprise Value/Revenue,4.89,16.54,17.58,17.41,15.07,APH,,,,,,,,,,,,,
Enterprise Value/EBITDA,20.57,68.89,74.06,74.83,62.76,APH,,,,,,,,,,,,,
Market Cap (intraday),59.52B,51.68B,55.25B,57.99B,66.28B,MMM,,,,,,,,,,,,,
Enterprise Value,71.10B,64.16B,68.13B,70.95B,79.21B,MMM,,,,,,,,,,,,,
Trailing P/E,16.99,,10.34,10.33,10.46,MMM,,,,,,,,,,,,,
Forward P/E,11.24,9.77,11.78,12.14,11.34,MMM,,,,,,,,,,,,,
PEG Ratio (5 yr expected),3.96,3.59,6.23,4.06,2.20,MMM,,,,,,,,,,,,,
Price/Sales (ttm),1.82,1.58,1.68,1.74,1.98,MMM,,,,,,,,,,,,,
Price/Book (mrq),12.74,6.58,3.60,3.94,4.68,MMM,,,,,,,,,,,,,
Enterprise Value/Revenue,2.17,7.72,8.18,8.83,9.80,MMM,,,,,,,,,,,,,
Enterprise Value/EBITDA,-9.49,-31.84,-8.08,39.90,67.59,MMM,,,,,,,,,,,,,
Market Cap (intraday),60.43B,50.06B,50.09B,43.12B,37.37B,PH,,,,,,,,,,,,,
Enterprise Value,72.16B,62.13B,62.94B,56.36B,50.81B,PH,,,,,,,,,,,,,
Trailing P/E,26.06,24.28,33.71,34.65,30.25,PH,,,,,,,,,,,,,
Forward P/E,20.16,17.01,17.27,15.41,15.11,PH,,,,,,,,,,,,,
PEG Ratio (5 yr expected),2.15,1.96,1.88,1.81,1.70,PH,,,,,,,,,,,,,
Price/Sales (ttm),3.11,2.65,2.79,2.54,2.32,PH,,,,,,,,,,,,,
Price/Book (mrq),5.72,4.85,5.12,4.63,4.26,PH,,,,,,,,,,,,,
Enterprise Value/Revenue,3.67,12.82,12.35,11.14,10.87,PH,,,,,,,,,,,,,
Enterprise Value/EBITDA,16.07,51.98,49.58,49.72,56.87,PH,,,,,,,,,,,,,
Market Cap (intraday),58.58B,51.68B,51.25B,46.82B,45.82B,ROP,,,,,,,,,,,,,
Enterprise Value,65.16B,56.88B,56.73B,52.74B,50.59B,ROP,,,,,,,,,,,,,
Trailing P/E,47.48,44.31,49.72,47.75,42.61,ROP,,,,,,,,,,,,,
Forward P/E,30.21,27.40,29.59,27.40,27.25,ROP,,,,,,,,,,,,,
PEG Ratio (5 yr expected),2.22,2.04,2.21,2.04,2.25,ROP,,,,,,,,,,,,,
Price/Sales (ttm),9.80,8.96,9.24,8.76,7.51,ROP,,,,,,,,,,,,,
Price/Book (mrq),3.44,3.09,3.14,2.92,3.31,ROP,,,,,,,,,,,,,
Enterprise Value/Revenue,10.87,36.38,37.05,35.88,35.35,ROP,,,,,,,,,,,,,
Enterprise Value/EBITDA,26.21,84.12,83.10,90.74,92.67,ROP,,,,,,,,,,,,,
Market Cap (intraday),56.79B,53.50B,42.47B,46.52B,49.19B,PSX,,,,,,,,,,,,,
Enterprise Value,72.70B,70.34B,53.99B,57.58B,63.10B,PSX,,,,,,,,,,,,,
Trailing P/E,7.80,5.18,3.64,4.36,4.69,PSX,,,,,,,,,,,,,
Forward P/E,9.23,8.61,7.05,6.84,7.42,PSX,,,,,,,,,,,,,
PEG Ratio (5 yr expected),,,,,,PSX,,,,,,,,,,,,,
Price/Sales (ttm),0.40,0.37,0.27,0.28,0.30,PSX,,,,,,,,,,,,,
Price/Book (mrq),1.84,1.77,1.40,1.58,1.72,PSX,,,,,,,,,,,,,
Enterprise Value/Revenue,0.49,1.77,1.54,1.67,1.57,PSX,,,,,,,,,,,,,
Enterprise Value/EBITDA,5.54,19.94,17.93,17.32,19.43,PSX,,,,,,,,,,,,,
Market Cap (intraday),58.09B,60.51B,47.22B,57.98B,54.55B,MPC,,,,,,,,,,,,,
Enterprise Value,73.61B,77.62B,64.31B,74.12B,71.31B,MPC,,,,,,,,,,,,,
Trailing P/E,5.77,5.55,3.58,4.82,5.23,MPC,,,,,,,,,,,,,
Forward P/E,10.92,9.08,6.37,7.14,8.23,MPC,,,,,,,,,,,,,
PEG Ratio (5 yr expected),15.65,,,,0.20,MPC,,,,,,,,,,,,,
Price/Sales (ttm),0.43,0.44,0.33,0.39,0.37,MPC,,,,,,,,,,,,,
Price/Book (mrq),2.25,2.27,1.76,2.09,2.01,MPC,,,,,,,,,,,,,
Enterprise Value/Revenue,0.48,1.90,1.77,2.13,1.79,MPC,,,,,,,,,,,,,
Enterprise Value/EBITDA,3.54,13.38,14.91,14.77,12.61,MPC,,,,,,,,,,,,,
Market Cap (intraday),59.49B,55.47B,60.17B,56.53B,53.01B,MNST,,,,,,,,,,,,,
Enterprise Value,56.48B,52.18B,57.11B,53.86B,50.36B,MNST,,,,,,,,,,,,,
Trailing P/E,38.77,39.08,46.89,48.44,44.92,MNST,,,,,,,,,,,,,
Forward P/E,31.45,29.59,38.02,36.63,33.33,MNST,,,,,,,,,,,,,
PEG Ratio (5 yr expected),1.65,1.48,1.90,2.94,3.45,MNST,,,,,,,,,,,,,
Price/Sales (ttm),8.75,8.40,9.41,9.13,8.73,MNST,,,,,,,,,,,,,
Price/Book (mrq),7.56,7.03,8.14,8.05,7.78,MNST,,,,,,,,,,,,,
Enterprise Value/Revenue,8.16,28.11,30.79,31.70,33.29,MNST,,,,,,,,,,,,,
Enterprise Value/EBITDA,29.51,98.73,105.88,107.31,122.97,MNST,,,,,,,,,,,,,
Market Cap (intraday),60.73B,,,,,CTAS,,,,,,,56.07B,51.39B,48.03B,44.58B,46.92B,,
Enterprise Value,63.51B,,,,,CTAS,,,,,,,58.64B,53.93B,50.86B,47.59B,50.01B,,
Trailing P/E,43.41,,,,,CTAS,,,,,,,41.60,38.81,37.89,35.68,38.71,,
Forward P/E,41.32,,,,,CTAS,,,,,,,38.61,35.09,32.89,30.67,37.04,,
PEG Ratio (5 yr expected),3.82,,,,,CTAS,,,,,,,3.71,3.13,2.92,3.07,3.09,,
Price/Sales (ttm),6.74,,,,,CTAS,,,,,,,6.36,5.91,5.68,5.45,5.96,,
Price/Book (mrq),15.20,,,,,CTAS,,,,,,,13.75,13.30,13.22,13.00,14.53,,
Enterprise Value/Revenue,6.91,,,,,CTAS,,,,,,,24.67,23.03,22.26,21.73,23.00,,
Enterprise Value/EBITDA,27.09,,,,,CTAS,,,,,,,96.19,88.74,88.19,86.53,91.52,,
Market Cap (intraday),60.85B,54.77B,57.70B,51.82B,52.82B,ORLY,,,,,,,,,,,,,
Enterprise Value,68.15B,61.83B,64.80B,58.26B,59.29B,ORLY,,,,,,,,,,,,,
Trailing P/E,27.38,25.25,27.65,25.39,25.79,ORLY,,,,,,,,,,,,,
Forward P/E,23.87,21.60,25.84,23.20,22.78,ORLY,,,,,,,,,,,,,
PEG Ratio (5 yr expected),1.48,1.35,1.62,1.50,1.90,ORLY,,,,,,,,,,,,,
Price/Sales (ttm),4.07,3.74,4.11,3.83,3.97,ORLY,,,,,,,,,,,,,
Price/Book (mrq),,,,,,ORLY,,,,,,,,,,,,,
Enterprise Value/Revenue,4.36,14.71,15.93,15.71,16.27,ORLY,,,,,,,,,,,,,
Enterprise Value/EBITDA,19.12,61.65,67.74,71.42,75.20,ORLY,,,,,,,,,,,,,
Market Cap (intraday),54.88B,65.83B,54.98B,53.85B,52.79B,CHTR,,,,,,,,,,,,,
Enterprise Value,152.40B,163.61B,152.71B,151.10B,149.63B,CHTR,,,,,,,,,,,,,
Trailing P/E,12.12,14.77,12.05,11.63,10.68,CHTR,,,,,,,,,,,,,
Forward P/E,9.83,10.74,10.99,10.03,9.45,CHTR,,,,,,,,,,,,,
PEG Ratio (5 yr expected),0.33,0.37,0.37,0.34,0.29,CHTR,,,,,,,,,,,,,
Price/Sales (ttm),1.04,1.25,1.07,1.09,1.08,CHTR,,,,,,,,,,,,,
Price/Book (mrq),4.94,6.22,5.84,5.90,5.82,CHTR,,,,,,,,,,,,,
Enterprise Value/Revenue,2.79,12.04,11.18,11.07,10.94,CHTR,,,,,,,,,,,,,
Enterprise Value/EBITDA,7.32,31.22,28.67,30.05,28.65,CHTR,,,,,,,,,,,,,
Market Cap (intraday),49.43B,60.28B,55.40B,60.66B,64.84B,HUM,,,,,,,,,,,,,
Enterprise Value,46.26B,56.27B,53.68B,67.02B,62.12B,HUM,,,,,,,,,,,,,
Trailing P/E,16.61,18.12,18.13,21.99,23.22,HUM,,,,,,,,,,,,,
Forward P/E,12.79,15.15,15.87,17.27,18.32,HUM,,,,,,,,,,,,,
PEG Ratio (5 yr expected),0.93,1.03,1.24,1.33,1.31,HUM,,,,,,,,,,,,,
Price/Sales (ttm),0.49,0.62,0.59,0.66,0.72,HUM,,,,,,,,,,,,,
Price/Book (mrq),2.92,3.56,3.34,3.96,3.94,HUM,,,,,,,,,,,,,
Enterprise Value/Revenue,0.45,2.13,2.01,2.51,2.77,HUM,,,,,,,,,,,,,
Enterprise Value/EBITDA,,,,,,HUM,,,,,,,,,,,,,
Market Cap (intraday),56.99B,48.28B,53.21B,47.13B,41.46B,ECL,,,,,,,,,,,,,
Enterprise Value,65.14B,56.80B,61.86B,55.56B,50.30B,ECL,,,,,,,,,,,,,
Trailing P/E,46.37,41.22,46.33,43.45,37.13,ECL,,,,,,,,,,,,,
Forward P/E,33.00,27.25,37.31,33.22,29.07,ECL,,,,,,,,,,,,,
PEG Ratio (5 yr expected),2.20,1.82,2.49,2.22,1.95,ECL,,,,,,,,,,,,,
Price/Sales (ttm),3.80,3.28,3.68,3.34,3.02,ECL,,,,,,,,,,,,,
Price/Book (mrq),7.31,6.39,7.25,6.51,5.86,ECL,,,,,,,,,,,,,
Enterprise Value/Revenue,4.33,14.35,16.06,15.56,13.70,ECL,,,,,,,,,,,,,
Enterprise Value/EBITDA,23.30,68.69,84.35,91.85,79.70,ECL,,,,,,,,,,,,,
Market Cap (intraday),54.24B,55.19B,51.66B,49.80B,55.94B,EMR,,,,,,,,,,,,,
Enterprise Value,54.75B,54.05B,60.18B,57.92B,64.85B,EMR,,,,,,,,,,,,,
Trailing P/E,25.51,17.35,18.33,11.90,17.76,EMR,,,,,,,,,,,,,
Forward P/E,17.99,19.72,19.38,21.37,23.42,EMR,,,,,,,,,,,,,
PEG Ratio (5 yr expected),,3.51,3.73,4.05,2.25,EMR,,,,,,,,,,,,,
Price/Sales (ttm),3.61,2.71,2.62,2.62,2.92,EMR,,,,,,,,,,,,,
Price/Book (mrq),2.62,2.70,4.55,4.64,5.30,EMR,,,,,,,,,,,,,
Enterprise Value/Revenue,3.61,13.21,15.25,15.42,19.23,EMR,,,,,,,,,,,,,
Enterprise Value/EBITDA,13.56,43.98,55.42,59.52,86.47,EMR,,,,,,,,,,,,,
Market Cap (intraday),58.47B,46.53B,49.12B,40.24B,34.24B,TDG,,,,,,,,,,,,,
Enterprise Value,74.77B,63.22B,66.56B,56.80B,51.05B,TDG,,,,,,,,,,,,,
Trailing P/E,47.99,44.94,53.54,49.97,47.06,TDG,,,,,,,,,,,,,
Forward P/E,32.79,28.99,31.95,33.00,29.41,TDG,,,,,,,,,,,,,
PEG Ratio (5 yr expected),3.73,2.56,2.89,3.14,1.27,TDG,,,,,,,,,,,,,
Price/Sales (ttm),9.18,7.70,8.68,7.55,6.75,TDG,,,,,,,,,,,,,
Price/Book (mrq),,,,,,TDG,,,,,,,,,,,,,
Enterprise Value/Revenue,11.35,34.14,38.16,35.68,36.54,TDG,,,,,,,,,,,,,
Enterprise Value/EBITDA,23.75,69.40,80.19,74.94,78.54,TDG,,,,,,,,,,,,,
Market Cap (intraday),56.64B,46.34B,43.61B,41.95B,38.71B,TT,,,,,,,,,,,,,
Enterprise Value,60.51B,50.71B,47.74B,45.56B,42.47B,TT,,,,,,,,,,,,,
Trailing P/E,29.05,24.75,24.55,24.30,23.98,TT,,,,,,,,,,,,,
Forward P/E,24.88,20.92,22.52,21.88,21.28,TT,,,,,,,,,,,,,
PEG Ratio (5 yr expected),2.23,2.01,2.24,2.23,2.36,TT,,,,,,,,,,,,,
Price/Sales (ttm),3.32,2.80,2.74,2.70,2.57,TT,,,,,,,,,,,,,
Price/Book (mrq),8.48,7.36,7.20,6.89,6.57,TT,,,,,,,,,,,,,
Enterprise Value/Revenue,3.49,10.38,10.15,12.43,10.43,TT,,,,,,,,,,,,,
Enterprise Value/EBITDA,19.83,53.59,52.10,86.42,64.26,TT,,,,,,,,,,,,,
Market Cap (intraday),50.66B,53.52B,48.30B,47.74B,54.27B,PXD,,,,,,,,,,,,,
Enterprise Value,55.71B,59.00B,53.29B,51.80B,58.03B,PXD,,,,,,,,,,,,,
Trailing P/E,10.34,9.76,7.33,6.56,8.12,PXD,,,,,,,,,,,,,
Forward P/E,9.17,9.53,9.34,7.96,8.06,PXD,,,,,,,,,,,,,
PEG Ratio (5 yr expected),0.78,,,1.95,1.05,PXD,,,,,,,,,,,,,
Price/Sales (ttm),2.71,2.77,2.26,2.11,2.34,PXD,,,,,,,,,,,,,
Price/Book (mrq),2.23,2.43,2.21,2.12,2.35,PXD,,,,,,,,,,,,,
Enterprise Value/Revenue,2.86,11.48,11.69,11.27,11.22,PXD,,,,,,,,,,,,,
Enterprise Value/EBITDA,5.93,24.19,24.87,22.66,22.65,PXD,,,,,,,,,,,,,
Market Cap (intraday),52.93B,44.71B,51.48B,48.26B,57.05B,NSC,,,,,,,,,,,,,
Enterprise Value,68.01B,59.28B,65.91B,63.40B,70.90B,NSC,,,,,,,,,,,,,
Trailing P/E,25.64,17.73,17.46,15.27,18.16,NSC,,,,,,,,,,,,,
Forward P/E,18.08,14.16,17.30,15.48,17.01,NSC,,,,,,,,,,,,,
PEG Ratio (5 yr expected),4.87,3.16,3.30,2.73,2.09,NSC,,,,,,,,,,,,,
Price/Sales (ttm),4.34,3.57,4.07,3.92,4.76,NSC,,,,,,,,,,,,,
Price/Book (mrq),4.20,3.52,4.04,3.79,4.32,NSC,,,,,,,,,,,,,
Enterprise Value/Revenue,5.52,19.95,22.12,20.24,21.90,NSC,,,,,,,,,,,,,
Enterprise Value/EBITDA,14.51,52.83,69.09,58.27,46.52,NSC,,,,,,,,,,,,,
Market Cap (intraday),54.15B,45.47B,49.19B,47.92B,43.09B,MSI,,,,,,,,,,,,,
Enterprise Value,59.75B,51.28B,54.69B,53.14B,48.66B,MSI,,,,,,,,,,,,,
Trailing P/E,32.99,30.90,36.66,36.08,37.90,MSI,,,,,,,,,,,,,
Forward P/E,25.25,21.46,25.97,25.25,22.83,MSI,,,,,,,,,,,,,
PEG Ratio (5 yr expected),2.21,1.93,2.25,2.16,1.89,MSI,,,,,,,,,,,,,
Price/Sales (ttm),5.71,4.85,5.36,5.40,5.09,MSI,,,,,,,,,,,,,
Price/Book (mrq),149.59,134.26,210.21,413.08,,MSI,,,,,,,,,,,,,
Enterprise Value/Revenue,6.07,20.06,22.76,24.48,17.98,MSI,,,,,,,,,,,,,
Enterprise Value/EBITDA,22.01,70.15,85.85,102.40,57.86,MSI,,,,,,,,,,,,,
Market Cap (intraday),49.51B,57.40B,52.02B,55.66B,57.25B,OXY,,,,,,,,,,,,,
Enterprise Value,77.90B,86.22B,80.65B,85.20B,87.67B,OXY,,,,,,,,,,,,,
Trailing P/E,12.29,10.96,6.72,5.34,5.23,OXY,,,,,,,,,,,,,
Forward P/E,10.76,13.50,11.39,9.86,8.42,OXY,,,,,,,,,,,,,
PEG Ratio (5 yr expected),,,,,,OXY,,,,,,,,,,,,,
Price/Sales (ttm),1.87,2.02,1.65,1.71,1.73,OXY,,,,,,,,,,,,,
Price/Book (mrq),2.35,2.79,2.55,2.74,2.99,OXY,,,,,,,,,,,,,
Enterprise Value/Revenue,2.66,12.05,12.03,11.79,10.67,OXY,,,,,,,,,,,,,
Enterprise Value/EBITDA,5.13,22.99,24.69,23.07,19.57,OXY,,,,,,,,,,,,,
Market Cap (intraday),53.07B,45.08B,48.46B,42.77B,40.76B,RSG,,,,,,,,,,,,,
Enterprise Value,65.09B,57.26B,60.54B,54.71B,52.62B,RSG,,,,,,,,,,,,,
Trailing P/E,32.69,28.67,31.98,28.83,28.16,RSG,,,,,,,,,,,,,
Forward P/E,28.90,24.33,29.50,25.97,25.91,RSG,,,,,,,,,,,,,
PEG Ratio (5 yr expected),2.95,2.47,3.28,3.12,3.09,RSG,,,,,,,,,,,,,
Price/Sales (ttm),3.64,3.13,3.43,3.17,3.17,RSG,,,,,,,,,,,,,
Price/Book (mrq),5.14,4.40,4.89,4.42,4.30,RSG,,,,,,,,,,,,,
Enterprise Value/Revenue,4.44,14.97,16.25,15.28,14.91,RSG,,,,,,,,,,,,,
Enterprise Value/EBITDA,15.80,50.19,55.67,53.03,61.27,RSG,,,,,,,,,,,,,
Market Cap (intraday),53.19B,,,,,ADSK,42.29B,45.37B,41.71B,46.26B,46.29B,,,,,,,,
Enterprise Value,53.88B,,,,,ADSK,42.88B,45.92B,42.31B,47.49B,47.81B,,,,,,,,
Trailing P/E,58.64,,,,,ADSK,49.04,54.92,51.53,76.03,84.37,,,,,,,,
Forward P/E,31.35,,,,,ADSK,23.87,28.99,26.81,29.67,27.62,,,,,,,,
PEG Ratio (5 yr expected),1.56,,,,,ADSK,1.18,1.22,1.13,1.18,1.09,,,,,,,,
Price/Sales (ttm),10.07,,,,,ADSK,8.23,9.02,8.48,9.62,9.94,,,,,,,,
Price/Book (mrq),35.89,,,,,ADSK,35.07,50.58,36.41,51.06,62.55,,,,,,,,
Enterprise Value/Revenue,10.08,,,,,ADSK,30.33,34.14,33.34,36.03,37.35,,,,,,,,
Enterprise Value/EBITDA,42.87,,,,,ADSK,115.90,155.66,169.24,138.86,163.17,,,,,,,,
Market Cap (intraday),45.03B,51.73B,70.23B,88.08B,88.53B,EL,,,,,,,,,,,,,
Enterprise Value,52.07B,57.87B,74.16B,91.83B,93.08B,EL,,,,,,,,,,,,,
Trailing P/E,82.24,51.81,64.60,59.39,41.21,EL,,,,,,,,,,,,,
Forward P/E,61.35,39.22,38.02,34.13,46.73,EL,,,,,,,,,,,,,
PEG Ratio (5 yr expected),6.15,3.92,3.81,3.48,4.67,EL,,,,,,,,,,,,,
Price/Sales (ttm),2.93,3.28,4.47,5.45,5.22,EL,,,,,,,,,,,,,
Price/Book (mrq),8.43,9.26,11.95,14.92,16.06,EL,,,,,,,,,,,,,
Enterprise Value/Revenue,3.36,16.45,20.55,24.48,20.15,EL,,,,,,,,,,,,,
Enterprise Value/EBITDA,27.65,168.21,300.24,174.25,121.68,EL,,,,,,,,,,,,,
Market Cap (intraday),51.33B,46.33B,51.22B,53.02B,49.21B,PSA,,,,,,,,,,,,,
Enterprise Value,64.08B,56.93B,61.78B,63.46B,59.42B,PSA,,,,,,,,,,,,,
Trailing P/E,26.76,11.41,12.41,12.86,11.39,PSA,,,,,,,,,,,,,
Forward P/E,27.25,23.87,26.04,27.62,24.81,PSA,,,,,,,,,,,,,
PEG Ratio (5 yr expected),,,6.65,7.04,2.56,PSA,,,,,,,,,,,,,
Price/Sales (ttm),11.57,10.58,11.96,12.74,12.29,PSA,,,,,,,,,,,,,
Price/Book (mrq),8.92,8.09,8.99,9.26,8.65,PSA,,,,,,,,,,,,,
Enterprise Value/Revenue,14.41,49.77,55.17,58.00,54.59,PSA,,,,,,,,,,,,,
Enterprise Value/EBITDA,19.96,62.30,73.42,81.55,87.69,PSA,,,,,,,,,,,,,
Market Cap (intraday),50.37B,44.45B,43.73B,38.25B,34.42B,PCAR,,,,,,,,,,,,,
Enterprise Value,55.64B,50.20B,49.60B,43.63B,39.93B,PCAR,,,,,,,,,,,,,
Trailing P/E,12.30,12.22,13.94,12.73,13.30,PCAR,,,,,,,,,,,,,
Forward P/E,13.28,12.82,11.36,11.40,12.47,PCAR,,,,,,,,,,,,,
PEG Ratio (5 yr expected),5.31,8.44,7.95,15.84,1.32,PCAR,,,,,,,,,,,,,
Price/Sales (ttm),1.48,1.37,1.42,1.33,1.26,PCAR,,,,,,,,,,,,,
Price/Book (mrq),3.14,2.95,3.15,2.91,2.67,PCAR,,,,,,,,,,,,,
Enterprise Value/Revenue,1.63,5.77,5.58,5.15,4.91,PCAR,,,,,,,,,,,,,
Enterprise Value/EBITDA,8.65,29.08,28.98,26.13,30.16,PCAR,,,,,,,,,,,,,
Market Cap (intraday),49.73B,42.49B,41.11B,35.58B,30.97B,WELL,,,,,,,,,,,,,
Enterprise Value,63.35B,56.63B,55.91B,49.91B,46.14B,WELL,,,,,,,,,,,,,
Trailing P/E,169.53,315.08,311.12,204.83,131.10,WELL,,,,,,,,,,,,,
Forward P/E,73.53,67.11,107.53,89.29,25.45,WELL,,,,,,,,,,,,,
PEG Ratio (5 yr expected),1.83,1.67,2.56,2.12,0.59,WELL,,,,,,,,,,,,,
Price/Sales (ttm),7.04,6.42,6.39,5.69,5.26,WELL,,,,,,,,,,,,,
Price/Book (mrq),2.17,2.06,2.01,1.75,1.68,WELL,,,,,,,,,,,,,
Enterprise Value/Revenue,9.89,34.07,33.57,31.98,30.39,WELL,,,,,,,,,,,,,
Enterprise Value/EBITDA,27.99,97.84,85.13,93.95,92.92,WELL,,,,,,,,,,,,,
Market Cap (intraday),51.71B,36.36B,41.16B,33.32B,30.71B,DHI,,,,,,,,,,,,,
Enterprise Value,52.98B,39.13B,44.12B,36.47B,34.29B,DHI,,,,,,,,,,,,,
Trailing P/E,11.24,7.65,8.22,6.07,5.40,DHI,,,,,,,,,,,,,
Forward P/E,11.72,8.26,11.45,11.16,9.86,DHI,,,,,,,,,,,,,
PEG Ratio (5 yr expected),0.66,0.61,1.16,1.15,,DHI,,,,,,,,,,,,,
Price/Sales (ttm),1.50,1.07,1.26,1.02,0.94,DHI,,,,,,,,,,,,,
Price/Book (mrq),2.28,1.66,1.99,1.65,1.58,DHI,,,,,,,,,,,,,
Enterprise Value/Revenue,1.49,3.73,4.54,4.57,4.72,DHI,,,,,,,,,,,,,
Enterprise Value/EBITDA,8.56,19.98,25.13,29.65,27.45,DHI,,,,,,,,,,,,,
Market Cap (intraday),,37.02B,41.72B,36.74B,35.48B,COF,,,,,,48.74B,,,,,,,
Enterprise Value,,,,,,COF,,,,,,,,,,,,,
Trailing P/E,,7.39,7.49,5.37,4.57,COF,,,,,,9.59,,,,,,,
Forward P/E,,7.29,8.09,6.31,5.34,COF,,,,,,9.72,,,,,,,
PEG Ratio (5 yr expected),,5.21,8.09,6.31,,COF,,,,,,6.94,,,,,,,
Price/Sales (ttm),,1.04,1.21,1.10,1.12,COF,,,,,,1.35,,,,,,,
Price/Book (mrq),,0.68,0.76,0.70,0.70,COF,,,,,,0.91,,,,,,,
